wavfile,groundtruth
./Mike/4232.wav,please remain seated with your seat belt fastened until the captain turns off the fasten seat belt sign for your safety and comfort
./Mike/7122.wav,the airport in san jose is closed due to weather conditions according to the latest information from air traffic control
./Mike/7372.wav,ladies and gentlemen locate the exits nearest your seat and in some cases your nearest exit may be behind you
./Mike/113.wav,while we are waiting for takeoff please take a moment to review the security data card in the pocket of the seat in front of you
./Mike/801.wav,we request passengers traveling with small children or requiring special assistance to begin boarding at this time
./Mike/3199.wav,during the evacuation if smoke is present please keep low and follow the path light to the nearest exit as indicated
./Mike/3302.wav,to warm up make sure all your baggage is stored away in the overhead compartments or tucked under the seat in front of you
./Mike/3976.wav,operation and use of the exits slides and rafts are illustrated in the safety information card located in your seat pockets
./Mike/6242.wav,as we are currently refueling please ensure that your seat belt remains unfastened until the seat belt sign is turned on
./Mike/9063.wav,in case of evacuation move quickly to the nearest exit and jump into the slide leaving all baggage behind
./Mike/31.wav,we ask you to fasten your seat belts at this time and store all baggage under your seat or in the upper compartments
./Mike/1968.wav,ladies and gentlemen each door is equipped with an inflatable slide which may also be detached and used as a life raft
./Mike/4349.wav,also your portable electronic devices must be set to airplane mode until an announcement is made upon arrival
./Mike/4457.wav,speaking to a mobile phone is not allowed during takeoff landing and taxing until fastened the seat belt sign is switched off
./Mike/5050.wav,thank you for making the journey with us thank you and now we would like you to pay attention to the following safety video
./Mike/8168.wav,in preparation for take off please be certain that your seatback is upright and the tray table is in its stowed position
./Mike/9276.wav,if oxygen masks fall from the side panel above your head activate your mask by pulling it in your direction
./Mike/10038.wav,your aircraft is fitted with smoke detectors including the toilets so there is no smoking until you are back on the ground
./Mike/11050.wav,we have a great team on board today and we are all happy to provide you with any assistance you may require during the flight
./Mike/390.wav,if this was not your final destination and your next flight is in more than twenty hours be sure to confirm your flights
./Mike/518.wav,if you continue to take other flights tonight remember to pick up your baggage as it will not be transferred to your next flight
./Mike/2444.wav,the vest can be manually inflated by blowing into one end of the red tubes and is equipped with a water activated locator light
./Mike/4415.wav,exit signs can be seen on all exits as displayed on your screens and your safety cards in your seat pockets
./Mike/4565.wav,we apologize for the delay we are waiting for our final guest to be on the airplane within the next couple of minutes
./Mike/4727.wav,if you are seated in the first class or business class cabin life vests are in a compartment beneath or adjacent to your seats
./Mike/7101.wav,according to the latest information from air traffic control the airport in cairo is closed due to weather conditions
./Mike/7551.wav,if your particular model is not equipped with a flight mode setting it must be switched off and remain off for the duration of this flight
./Mike/9238.wav,passengers shall not approach the flight deck except for safety reasons or under the express authorization of the crew
./Mike/9061.wav,if evacuating quickly proceed to the nearest exit and jump into the slide leaving all carry on baggage behind
./Mike/10248.wav,ladies and gentlemen before we take off i would like to take you through a few simple procedures to ensure your safety
./Mike/5033.wav,if the aircraft cabin loses pressure the panel above your seat containing oxygen masks will open automatically
./Mike/3702.wav,in the unlikely event of the aircraft making an emergency landing you will be told to take this protective brace position
./Mike/11185.wav,while we await departure please take a few moments to review the safety data card in the seat pocket in front of you
./Mike/10174.wav,if you can reach the seat in front brace by folding your arms on the back of the seat and rest your forehead on your arms
